COBERTURA,PERIODICIDAD,FECHA,CONCEPTO,VALOR,UNIDAD_MEDIDA,ESTATUS
Nacional,Mensual,	2014-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.96529238536,Índice,Cifras definitivas
Nacional,Mensual,	2014-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.806779253561,Índice,Cifras definitivas
Nacional,Mensual,	2014-05-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.535579061242,Índice,Cifras definitivas
Nacional,Mensual,	2014-06-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.682072239918,Índice,Cifras definitivas
Nacional,Mensual,	2014-07-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",84.914958831661,Índice,Cifras definitivas
Nacional,Mensual,	2014-08-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",85.219965142136,Índice,Cifras definitivas
Nacional,Mensual,	2014-09-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",85.596339924274,Índice,Cifras definitivas
Nacional,Mensual,	2014-10-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",86.06962557846,Índice,Cifras definitivas
Nacional,Mensual,	2014-11-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",86.763777871266,Índice,Cifras definitivas
Nacional,Mensual,	2014-12-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",87.188983712964,Índice,Cifras definitivas
Nacional,Mensual,	2015-01-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",87.110102770599,Índice,Cifras definitivas
Nacional,Mensual,	2015-02-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",87.275377126029,Índice,Cifras definitivas
Nacional,Mensual,	2015-03-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",87.630716990204,Índice,Cifras definitivas
Nacional,Mensual,	2015-04-01,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",87.403840375023,Índice,Cifras definitivas
